Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Countdown,Ingles,"A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.",2019-10-24,32.432,1680,6.4,6500000,48021766,90,"Horror, Thriller",USA,NOT RATED,Nattawut Poonpiriya,Pachara Chirathivat|Jarinporn Joonkiat|Pattarasaya Kreuasuwansri|David Asavanond|Prach Rakissarakul|Lawrence de Stefano|Parunyoo Phoonumphol|Pattaya Benjavari|Pornsroung Rouyruen|Pattawut Theeranaveekul|Nuttakan Boonjaiyai|Caitlin Haas|Helga Schorkl|Jonathan Joseph Rentle,Desconocido,Slasher
Life,Ingles,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",2017-03-22,32.282,6326,6.4,58000000,100541806,104,"Horror, Mystery, Science Fiction, Thriller",USA,R,Daniel Espinosa,Hiroyuki Sanada|Ryan Reynolds|Rebecca Ferguson|Jake Gyllenhaal|Olga Dykhovichnaya|Ariyon Bakare|Jesus Del Orden|Allen McLean|Leila Grace|Mari Gvelesiani|David Muir|Elizabeth Vargas|Camiel Warren-Taylor|Haruka Kuroda|Naoko Mori,"Halong Bay, Vietnam",Terror de ciencia ficción
Sinister 2,Ingles,A young mother and her twin sons move into a rural house that's marked for death.,2015-08-19,31.394,1832,5.8,10000000,53329150,97,Horror,USA,R,Ciarán Foy,James Ransone|Shannyn Sossamon|Robert Daniel Sloan|Dartanian Sloan|Lea Coco|Tate Ellington|John Beasley|Lucas Jade Zumann|Jaden Klein|Laila Haley|Caden Marshall Fritz|Olivia Rainey|Nicholas King|Michael B. Woods|Tory O. Davis,"Chicago, Illinois, USA",Terror puro
Grave Encounters 2,Ingles,"Tortured by the ghosts of the demonized insane asylum that killed the crew of GRAVE ENCOUNTERS, film students fight to escape death as their own paranormal investigation goes terribly wrong in this horrifying sequel.",2012-10-12,30.872,753,5.5,0,0,95,Horror,USA,NOT RATED,John Poliquin,Shawn C. Phillips|Jennica Fulton|Jeffrey Bowyer-Chapman|Charlie Kerr|Francisco Passuelo|Andrew Amphlett|J. Jones|Mike Holtz|Calvin Walantus|Zach Lorkiewicz|Chris Hill|Brandon Christensen|Tessa Paige Bildstein|Simone Belshaw|Nikkie Mucci,"Vancouver, British Columbia, Canada",Terror puro
Backcountry,Ingles,A couple on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.,2014-03-20,30.601,492,5.8,0,0,92,"Drama, Horror, Thriller",USA,R,Adam MacDonald,Jeff Roop|Missy Peregrym|Nicholas Campbell|Eric Balfour,"North Bay, Ontario, Canada",Terror psicológico
Slender Man,Ingles,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",2018-08-10,30.529,1685,4.4,10000000,11817275,93,"Horror, Mystery, Thriller",Russia,NOT RATED,"Andrey Bulahov, Aisha Bulahova",Aisha Bulahova|Katya Dmitrieva|Lera Dmitrieva|Oksana Emelyanova|Natasha Malkova|Misha Nesterov|Khristina Perphileva|Leonid Zaiko|Alina Zarbalieva,Desconocido,Terror psicológico
The Shallows,Ingles,"When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.",2016-06-24,30.09,4524,6.4,17000000,119100758,86,"Drama, Horror, Thriller",USA,PG-13,Jaume Collet-Serra,Blake Lively|Óscar Jaenada|Angelo Josue Lozano Corzo|Joseph Salas|Brett Cullen|Sedona Legge|Pablo Calva|Diego Espejel|Janelle Bailey|Ava Dean|Chelsea Moody|Sully Seagull,"Village Roadshow Studios, Oxenford, Queensland, Australia",Terror psicológico
Chernobyl Diaries,Ingles,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",2012-05-24,29.565,1374,5.3,1000000,38390020,88,"Horror, Thriller",USA,R,Bradley Parker,Ingrid Bolsø Berdal|Dimitri Diatchenko|Olivia Taylor Dudley|Devin Kelley|Jesse McCartney|Nathan Phillips|Jonathan Sadowski|Milos Timotijevic|Milutin Milosevic|Ivan Djordjevic|Ivan Jovic|Zinaida Dedakin|Ivana Milutinovic|Alex Feldman|Kristof Konrad,"WWII Army Bunker, Belgrade, Serbia",Slasher
Crimson Peak,Ingles,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",2015-10-13,29.153,4396,6.6,55000000,74679822,119,"Fantasy, Horror, Mystery, Romance, Thriller",USA,R,Guillermo del Toro,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver|Burn Gorman|Leslie Hope|Doug Jones|Jonathan Hyde|Bruce Gray|Emily Coutts|Alec Stockwell|Brigitte Robinson|Gillian Ferrier|Tamara Hope,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",Terror romántico
Ajin: Demi-Human,Japones,"Ajin is a live-action adaptation of a Japanese manga series written and illustrated by Gamon Sakurai. Kei Nagai dies in a car accident, but realises he is a type of immortal known as Ajin (demi-human). Hunted by humans, Ajin is eventually found by the government and used as a subject in cruel experiments. He finds fellow demi-humans along the way as he escapes and goes on the run.",2017-09-30,28.997,86,7.6,0,0,109,"Action, Horror, Mystery",Japan,NOT RATED,Katsuyuki Motohiro,Mamoru Miyano|Takeru Satoh|Tetsuji Tamayama|Gô Ayano|Yûdai Chiba|Minami Hamabe|Ken'ichi Suzumura|Yû Shirota|Yûki Yamada|Rina Kawaei,Desconocido,Terror psicológico
Kill Command,Ingles,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.",2016-05-13,28.946,488,5.5,0,0,99,"Action, Horror, Science Fiction",USA,UNRATED,Steven Gomez,Vanessa Kirby|David Ajala|Mike Noble|Bentley Kalu|Tom McKay|Kelly Gough|Osi Okerafor|Damian Kell|Tim Ahern|Deborah Rosan|Thure Lindhardt,"Coldharbour, near Docking",Terror de ciencia ficción
Hush,Ingles,A deaf woman is stalked by a psychotic killer in her secluded home.,2016-03-12,28.54,3990,6.7,0,0,82,"Horror, Thriller",UK,NOT RATED,Olaf de Fleur Johannesson,Celia Imrie|Florence Pugh|Ben Lloyd-Hughes|Scott Chambers|Georgina Bevan,Desconocido,Slasher
Rape Zombie: Lust of the Dead,Japones,"After a nuclear attack in Tokyo, the female population is attacked by infected males who have become sex-crazed zombies, hungry for human flesh. Officeworker Momoko and nurse Nozomi seek shelter in a Shinto Shrine, where they meet housewife Kanae and school girl Tamae. With no choices left to them, the group of girls decides to take a stand and arm themselves with assault rifles and explosives to fight off hordes of horny zombies. What is the secret to killing the zombies for good?",2012-07-13,28.502,118,6.3,0,0,73,"Comedy, Horror",USA,NOT RATED,Naoyuki Tomomatsu,Rina Aikawa|Yui Aikawa|Kazuyoshi Akishima|Asami|Norman England|Hiroshi Fujita|Fukuten|Haruna|Yukihiro Haruzono|Hiroshi Hatakeyama|Yuria Hidaka|Ryôichi Inaba|Hideo Jôjô|Hidetoshi Kageyama|Amu Kamika,Desconocido,Terror cómico
The Girl with All the Gifts,Ingles,"In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune to the fungus, they all begin a journey to save humanity.",2016-09-23,28.45,1662,6.6,5005600,0,110,"Drama, Horror, Science Fiction, Thriller",USA,R,Colm McCarthy,Sennia Nanua|Fisayo Akinade|Dominique Tipper|Paddy Considine|Anamaria Marinca|Gemma Arterton|Anthony Welsh|Glenn Close|Mia Garcha|Grace McGee|Eli Lane|Connor Pratt|Joe Lomas|Will Brooks|Joel Sheldon,"Birmingham, England, UK",Terror de ciencia ficción
The Day,Ingles,"Open war against humanity rages. For five survivors – lost and on the run – the pursuit is relentless, the bullets are dwindling and the battle is everywhere. This is a 24-hour look into their lives.",2011-09-15,28.446,211,5.2,0,0,85,"Action, Drama, Horror, Science Fiction",Russia,R,Douglas Aarniokoski,Shawn Ashmore|Brianna Barnes|Ashley Bell|Brayden Edwards|Michael Eklund|Steffi Hagel|Cory Hardrict|Dominic Monaghan|Shimon Moore|Shannyn Sossamon|Kassidy Verreault|Robert Baldwin|Frank Beaudoin|Patrick Beriault|Patrick Blais,"Ottawa, Ontario, Canada",Terror de ciencia ficción
The Binding,Italiano,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",2020-10-02,28.175,209,5.4,0,0,93,"Drama, Horror, Thriller",USA,NOT RATED,Gus Krieger,Amy Gumenick|Josh Heisler|James Rose Collons|Leon Russom|Kate Fuglei|Virginia Welch|Rob Cunliffe|Kevin Stidham|Timothy Portnoy|Stuart Pankin|Catherine Parker|Amelia Gotham|Max Adler|Larry Cedar,Desconocido,Terror psicológico
The Vatican Tapes,Ingles,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.",2015-07-24,27.874,648,5.3,13000000,1784763,91,"Horror, Thriller",Egypt,PG-13,Mark Neveldine,Olivia Taylor Dudley|John Patrick Amedori|Dougray Scott|Michael Peña|Peter Andersson|Djimon Hounsou|Kathleen Robertson|Sam Upton|Cas Anvar|Michael Halsey|Alex Sparrow|Jarvis W. George|Michael Paré|Alex Corrado|Montanna Gillis,Desconocido,Slasher
Wer,Ingles,"A defense attorney begins to suspect that her client, who is charged with the murders of a vacationing family, might be more than meets the eye.",2013-11-16,27.716,297,6.3,0,0,89,"Horror, Mystery, Thriller",USA,R,William Brent Bell,A.J. Cook|Sebastian Roché|Corneliu Ulici|Vik Sahay|Stephanie Lemelin|Simon Quarterman|Oaklee Pendergast|Brian Johnson|Brian Scott O'Connor|Sarah-Jane Mee|Constantin Florescu|Alexandra Pirici|Ozana Oancea|Ionut Grama|Rudy Rosenfeld,"Bucharest, Romania",Terror psicológico
Asura,Japones,"Abandoned in the barren wasteland of Kyoto, a savage, enraged orphan does whatever it takes to survive in the wild. When he crosses paths with civilization, he must learn to tame the beast within.",2012-09-29,27.706,59,7.0,0,0,76,"Animation, Drama, History, Horror",Japan,NOT RATED,Kei'ichi Sato,Tesshô Genda|Megumi Hayashibara|Hiroaki Hirata|Yoshihiro Ike|Kin'ya Kitaôji|Yû Mizushima|Masako Nozawa|Bin Shimada|Kaori Yamagata|Kappei Yamaguchi,Desconocido,Terror animado
47 Meters Down,Ingles,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",2017-05-25,27.688,2406,5.8,5500000,44235023,89,"Adventure, Drama, Horror, Thriller",USA,PG-13,Johannes Roberts,Mandy Moore|Claire Holt|Chris Johnson|Yani Gellman|Santiago Segura|Matthew Modine,UK,Terror psicológico
The Visit,Ingles,"A brother and sister are sent to their grandparents' remote Pennsylvania farm for a week, where they discover that the elderly couple is involved in something deeply disturbing.",2015-09-10,27.653,4012,6.3,5000000,98450062,94,"Horror, Mystery, Thriller",USA,PG-13,M. Night Shyamalan,Olivia DeJonge|Ed Oxenbould|Deanna Dunagan|Peter McRobbie|Kathryn Hahn|Celia Keenan-Bolger|Samuel Stricklen|Patch Darragh|Jorge Cordova|Steve Annan|Benjamin Kanes|Ocean James|Seamus Moroney,"Philadelphia, Pennsylvania, USA",Terror psicológico
Oculus,Ingles,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,2013-09-08,27.473,2536,6.4,5000000,44459951,104,Horror,USA,R,Mike Flanagan,Karen Gillan|Brenton Thwaites|Katee Sackhoff|Rory Cochrane|Annalise Basso|Garrett Ryan|James Lafferty|Miguel Sandoval|Kate Siegel|Scott Graham|Michael J. Fourticq|Justin Gordon|Catherine Parker|Bob Gebert|Brett Luciana Murray,"Mobile, Alabama, USA",Terror puro
The Strangers,Ingles,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive.",2008-05-29,27.332,2000,6.1,9000000,82391145,86,"Horror, Mystery, Thriller",Philippines,NOT RATED,Lawrence Fajardo,Enchong Dee|Julia Montes|Enrique Gil|JM de Guzman|Janice de Belen|Cherry Pie Picache|Jaime Fabregas|Johnny Revilla|Nico Antonio|Spanky Manikan|Arthur Acuña|Tanya Gomez|Rita Daniela|Mark Gil|Dante Balois,Desconocido,Terror psicológico
The Woman in Black 2: Angel of Death,Ingles,"40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrive, awakening the house's darkest inhabitant.",2014-12-30,27.191,908,5.2,15000000,48854305,98,"Drama, Horror, Thriller",USA,PG-13,Tom Harper,Phoebe Fox|Merryn Pearse|Mary Roscoe|Helen McCrory|Amelia Crouch|Amelia Pidgeon|Casper Allpress|Pip Pearce|Leilah de Meza|Jude Wright|Alfie Simmons|Oaklee Pendergast|Thomas Arnold|Jeremy Irvine|Adrian Rawlins,"Old Royal Naval College, Greenwich, London, England, UK",Terror psicológico
Paranormal Activity 4,Ingles,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",2012-10-17,26.924,1619,5.4,5000000,142817992,97,Horror,USA,R,"Henry Joost, Ariel Schulman",Katie Featherston|Kathryn Newton|Matt Shively|Aiden Lovekamp|Brady Allen|Stephen Dunham|Alexondra Lee|Georgica Pettus|Alisha Boe|Brendon Eggertsen|Constance Esposito|Ty Dawson|Jonah Pasco|Rightor Doyle|Tamara Bersane,"Henderson, Nevada, USA",Terror puro
Krampus,Ingles,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",2015-11-26,26.847,1709,6.1,15000000,61788393,98,"Comedy, Fantasy, Horror",USA,PG-13,Michael Dougherty,Emjay Anthony|Adam Scott|Toni Collette|Stefania LaVie Owen|Krista Stadler|Conchata Ferrell|Allison Tolman|David Koechner|Maverick Flack|Queenie Samuel|Lolo Owen|Sage Hunefeld|Leith Towers|Curtis Vowell|Luke Hawker,"Stone Street Studios, Stone Street, Miramar, Wellington, New Zealand",Terror cómico
You're Next,Ingles,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.",2011-09-10,26.774,2041,6.6,1000000,14347000,94,"Horror, Mystery, Thriller",USA,R,Adam Wingard,Sharni Vinson|Nicholas Tucci|Wendy Glenn|AJ Bowen|Joe Swanberg|Margaret Laney|Amy Seimetz|Ti West|Rob Moran|Barbara Crampton|L.C. Holt|Simon Barrett|Lane Hughes|Larry Fessenden|Kate Lyn Sheil,"Columbia, Missouri, USA",Terror psicológico
Speak No Evil,Danes,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,2022-03-17,26.723,77,6.7,0,0,97,"Drama, Horror, Thriller",Brazil,R,Roze,Gabrielle Stone|Olivia Cavender|Carl Jensen IV|Sean Wesley|Cesar Garcia|Rob Hartz|Alexandria Stevens|Sylvie Cohen|Machelle Glassburn|Eric Zaklukiewicz|Greg Bronson|Rio|Cindy Eileen Johnson|Jason Mow|Rory Pierce,"Apache Junction, Arizona, USA",Terror psicológico
Unfriended,Ingles,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.",2014-10-22,26.72,2994,5.5,1000000,62882090,82,"Horror, Mystery, Thriller",USA,R,Levan Gabriadze,Heather Sossaman|Matthew Bohrer|Courtney Halverson|Shelley Hennig|Moses Storm|Will Peltz|Renee Olstead|Jacob Wysocki|Mickey River|Cal Barnes|Christa Hartsock,"Santa Clarita, California, USA",Terror psicológico
10 Cloverfield Lane,Ingles,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016-03-10,26.205,6808,7.0,15000000,108286421,104,"Drama, Horror, Science Fiction, Thriller",USA,PG-13,Dan Trachtenberg,John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.|Douglas M. Griffin|Suzanne Cryer|Bradley Cooper|Sumalee Montano|Frank Mottek,"New Orleans, Louisiana, USA",Terror de ciencia ficción
Blood-C: The Last Dark,Japones,"Tokyo, Winter. Despite the use of the Youth Ordinance Bill to enforce curfews for minors and regulate the use of the Internet, young people continue to fight for their own freedom through underground methods. One such group calls themselves Surat. They have decided to take on Fumito Nanahara, a man who has great influence on the political world, and basically controls Tokyo with an iron fist. While using the Internet as a weapon to discover more information about Fumito, they learn about ""Tower"", the secret organization behind Fumito which engages in human experimentation.",2012-06-02,26.143,97,7.3,0,0,106,"Action, Animation, Horror, Science Fiction",Japan,TV-MA,Naoyoshi Shiotani,Atsushi Abe|Masumi Asano|Tia Lynn Ballard|Colleen Clinkenbeard|Justin Cook|Keiji Fujiwara|Misato Fukuen|Todd Haberkorn|Martha Harms|Robert McCollum|Mike McFarland|Miho Miyagawa|Nana Mizuki|Kenji Nojima|Jad Saxton,Desconocido,Terror animado
Piranha 3DD,Ingles,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",2012-05-11,26.066,854,4.3,5000000,8493728,83,"Comedy, Horror, Thriller",UK,R,John Gulager,Danielle Panabaker|Matt Bush|Katrina Bowden|Jean-Luc Bilodeau|David Koechner|Chris Zylka|Adrian Martinez|Paul James Jordan|Meagan Tandy|David Hasselhoff|Christopher Lloyd|Paul Scheer|Gary Busey|Clu Gulager|Sierra Fisk,"Kure Beach, North Carolina, USA",Terror cómico
Pride and Prejudice and Zombies,Ingles,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",2016-02-04,26.04,1920,6.1,28000000,16457494,108,"Comedy, Horror, Romance, Thriller",USA,PG-13,Burr Steers,Lily James|Sam Riley|Bella Heathcote|Ellie Bamber|Millie Brady|Suki Waterhouse|Douglas Booth|Sally Phillips|Charles Dance|Jack Huston|Lena Headey|Matt Smith|Emma Greenwell|Eva Bell|Aisling Loftus,"West Wycombe House, West Wycombe Park, West Wycombe, Buckinghamshire, England, UK",Terror cómico
The Innocents,Noruego,"Four children become friends during the summer holidays, and out of sight of the adults they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen.",2021-09-03,25.973,221,7.0,3400000,0,117,"Drama, Horror, Thriller",Belgium,NOT RATED,Mauricio Brunetti,María Eugenia Arboleda|Lito Cruz|Stella Delphino|Ludovico Di Santo|Tomás Diaz|Sabrina Garciarena|María Nela Sinisterra|Beatriz Spelzini,Desconocido,Terror psicológico
The Pyramid,Ingles,An archaeological team attempt to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.,2014-12-04,25.486,857,5.2,6500000,16861137,89,Horror,USA,NOT RATED,"Roberto Albanesi, Luca Alessandro, Simone Chiesa",Chiara Acaccia|Luigi Bassi|Marco Battaglia|Fausto Bellone|Cristina Buoninfante|Rita Carlini|Davide Cazzulani|Mauro Celaia|Diego Consiglio|Elio D'Alessandro|Antonio De Matteo|Jack Gallo|Alessandra Livraghi|Federico Loffredo|Francesco Marino,Desconocido,Terror puro
Dracula Untold,Ingles,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",2014-10-01,25.427,5364,6.4,70000000,217124280,92,"Action, Drama, Fantasy, Horror, War",USA,PG-13,Gary Shore,Luke Evans|Sarah Gadon|Dominic Cooper|Art Parkinson|Charles Dance|Diarmaid Murtagh|Paul Kaye|William Houston|Noah Huntley|Ronan Vibert|Zach McGowan|Ferdinand Kingsley|Joseph Long|Thor Kristjansson|Jakub Gierszal,"Northern Ireland, UK",Terror bélico
Ao Oni The Animation,Japones,"Based on the horror game Ao Oni by noprops.  Five members of the cultural anthropology club at an old western-style school are trying to come up with ideas for their presentation at the school's culture festival, when they find a collection of folk tales gathered by a student in their club 40 years ago. They realize that the mysterious Bellflower Oni that appears in the folk tales may be the basis for the popular free game Ao Oni, and decide to make that their theme. They manage to make contact with the author of the Ao Oni game, but he dies mysteriously soon afterward. The club members become suspicious at the author's death and began to investigate on their own, but encounter a secret they never should have touched: a secret underground prison in the school.  For some reason all the fire doors at the school are locked, and they are trapped in the school. The sound of the strange footsteps they hear soon turn to their screams...A new tragedy of the Ao Oni is about to begin.",2017-02-11,25.253,10,5.2,0,0,60,"Animation, Horror",USA,NOT RATED,Toshirô Hamamura,Yôko Hikasa|Eri Kitamura|Takahiro Mizushima|Shuuta Morishima|Kenji Nojima|Ayane Sakura|Hiroki Touchi|Ryôta Ôsaka,Desconocido,Terror animado
A Cure for Wellness,Ingles,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.",2017-02-15,25.0,3345,6.3,40000000,26620002,146,"Horror, Mystery, Science Fiction, Thriller",USA,R,Gore Verbinski,Dane DeHaan|Jason Isaacs|Mia Goth|Ivo Nandi|Adrian Schiller|Celia Imrie|Harry Groener|Tomas Norström|Ashok Mandanna|Magnus Krepper|Peter Benedict|Michael Mendl|Maggie Steed|Craig Wroe|David Bishins,"Castle Hohenzollern, Hechingen, Baden-Württemberg, Germany",Terror de ciencia ficción
Zoombies,Ingles,"When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",2016-04-29,24.788,157,5.2,0,0,90,"Action, Horror, Science Fiction",USA,TV-14,Glenn Miller,Ione Butler|Andrew Asper|LaLa Nestor|Kim Nielsen|Marcus Anderson|Brianna Joy Chomer|Ivan Djurovic|Aaron Groben|Kaiwi Lyman-Mersereau|William McMichael|Reuben Uy|Isaac Anderson|Tammy Klein|Ikaika|Joe Conti,"Arcadia, California, USA",Terror de ciencia ficción
The Taking of Deborah Logan,Ingles,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all.",2014-10-21,24.686,936,6.4,0,0,90,"Horror, Mystery, Thriller",USA,R,Adam Robitel,Jill Larson|Anne Ramsay|Michelle Ang|Brett Gentile|Jeremy DeCarlos|Ryan Cutrona|Tonya Bludsworth|Anne Bedian|Randell Haynes|Jeffrey Woodard|Julianne Taylor|Dave Blamy|Melissa Lozoff|Bo Keister|Kevin A. Campbell,"North Carolina, USA",Terror psicológico
Blood Moon,Ingles,"When Esme and her ten-year-old son, Luna move to a small desert town looking for a fresh start, they attract all the wrong kinds of attention. Esme must battle to protect her son and a terrifying secret before the next full moon reveals all.",2021-03-26,24.387,37,6.1,0,0,82,"Fantasy, Horror",USA,NOT RATED,Jeremy Wooding,George Blagden|Tom Cotcher|Barrington De La Roche|Raffaello Degruttola|Shaun Dooley|Jack Fox|Dave Fulton|Corey Johnson|Tony Law|Eleanor Matsuura|Amber Jean Rowan|Kerry Shale|Anna Skellern|David Sterne|Joan Walker,Desconocido,Terror sobrenatural
Gerald's Game,Ingles,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",2017-09-29,24.269,3103,6.4,0,0,104,"Horror, Thriller",USA,TV-MA,Mike Flanagan,Carla Gugino|Carel Struycken|Bruce Greenwood|Henry Thomas|Chiara Aurelia|Kate Siegel|Natalie Roers|Tom Glynn|Stu Cookson|Gwendolyn Mulamba|Ben Pronsky|Jon Arthur|Nikia Reynolds|Kimberly Battista|Michael Amstutz,"Mobile, Alabama, USA",Slasher
The Bye Bye Man,Ingles,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.",2017-01-12,24.11,1086,5.2,7400000,26667197,96,"Horror, Thriller",USA,PG-13,Stacy Title,Douglas Smith|Lucien Laviscount|Cressida Bonas|Doug Jones|Michael Trucco|Jenna Kanell|Erica Tremblay|Marisa Echeverria|Cleo King|Faye Dunaway|Carrie-Anne Moss|Leigh Whannell|Keelin Woodell|Lara Knox|Jonathan Penner,"Cleveland, Ohio, USA",Slasher
1922,Ingles,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",2017-10-20,24.069,2318,5.9,0,0,102,"Crime, Drama, Horror",USA,TV-MA,Zak Hilditch,Thomas Jane|Molly Parker|Dylan Schmid|Kaitlyn Bernard|Neal McDonough|Tanya Champoux|Brian d'Arcy James|Bob Frazer|Eric Keenleyside|Patrick Keating|Danielle Klaudt|Peter New|Peter Hall|Michael Bean|Mark Acheson,Desconocido,Terror psicológico
Paranormal Activity: The Ghost Dimension,Ingles,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",2015-10-21,24.036,1198,5.3,10000000,78096553,88,"Horror, Thriller",USA,R,Gregory Plotkin,Chris J. Murray|Brit Shaw|Ivy George|Dan Gill|Olivia Taylor Dudley|Chloe Csengery|Jessica Tyler Brown|Don McManus|Michael Krawic|Hallie Foote|Aiden Lovekamp|Cara Pifko|Mark Steger,Desconocido,Slasher
Emelie,Ingles,"After their regular babysitter cancels, the Thompson family turns to her friend, Anna to supervise their children while the parents go out to celebrate their anniversary. At first Anna seems like a dream come true to the kids, allowing them to eat extra cookies and play with things that are usually off-limits, but as her behaviour becomes increasingly odd, the kids soon find out that her intentions are dark and twisted—and she is not who she seems to be.",2016-03-04,23.982,588,5.2,0,0,82,"Horror, Thriller",USA,NOT RATED,Michael Thelin,Carly Adams|Elisha Ali|Carl Bailey|Thomas Bair|Jason John Beebe|Chris Beetem|Heather Benson|Sarah Bolger|Bob Bozek|Annette Christian|Doreen Donovan Corkin|Lynn Czekaj|O'Mick Donald|Michael Joseph Dugan|Erika Frase,"Buffalo, New York, USA",Slasher
