original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
Cult of Chucky,Cult of Chucky,en,"Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll with a familiar face, a string of new, grisly deaths leads Nica to wonder if she isn't crazy after all.",You may feel a little prick,2017-10-23,/r5JUiMYfatwYeDkxkLWYUx5GIjY.jpg,116.318,959,5.8,6500000,2200000,91,Released,False,/2sHD7FUlgyy1TBAxPtzLF4yDb2D.jpg,"Horror, Thriller",10455.0,Child's Play Collection,cultofchucky,Cult of Chucky, Horror| Thriller,24-Oct-17,France,R,5.2,91 min,"Directed by Don Mancini. With Allison Dawn Doiron, Alex Vincent, Brad Dourif, Fiona Dourif. Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife.",Allison Dawn Doiron|Alex Vincent|Brad Dourif|Fiona Dourif|Dan De Jaeger|Matthew Stefanson|Michael Therriault|Zak Santiago|Ali Tataryn|Marina Stephenson Kerr|Adam Hurtig|Grace Lynn Kung|Elisabeth Rosen|Jennifer Tilly|Summer H. Howell,English,"Atlanta, Georgia, USA",
Demonic,Demonic,en,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,"It's not a dream, it's not reality.",2021-07-29,/pUK9duiCK1PKqWA5rRQ4XBMHITH.jpg,110.83,153,4.9,0,0,104,Released,False,/tFBVXnqmsmoSFR3rbltTfdGIMgV.jpg,"Drama, Horror, Science Fiction",,,demonic,Demonic, Horror| Thriller,10-Oct-17,USA,R,5.3,83 min,"Directed by Will Canon. With Maria Bello, Frank Grillo, Cody Horn, Dustin Milligan. A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.",Maria Bello|Frank Grillo|Cody Horn|Dustin Milligan|Scott Mechlowicz|Megan Park|Aaron Yoo|Alex Goode|Terence Rosemore|Jesse Steccato|Meyer DeLeeuw|Griff Furst|Thomas Francis Murphy|Ashton Leigh|Katarina Boudreaux,English,"Baton Rouge, Louisiana, USA","$3,000,000 "
Legion,Legion,en,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.","When the last angel falls, the fight for mankind begins.",2010-01-21,/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg,110.404,2190,5.8,26000000,67918658,100,Released,False,/jGyIsNQBQ17G92ZxuTErrMl6W1e.jpg,"Action, Fantasy, Horror",,,legion,Legion, Horror,25-Oct-16,USA,NOT RATED,8.3,105 min,"Directed by William Peter Blatty. With George C. Scott, Ed Flanders, Brad Dourif, Scott Wilson. William Peter Blatty's director's cut of ""The Exorcist III"" which was thought to be lost. Recovered and released in 2016 under its original title, this is the definitive cut of the film based on his novel ""Legion""",George C. Scott|Ed Flanders|Brad Dourif|Scott Wilson|Nancy Fish|Peggy Alston|Ryan Paul Amick|Cherie Baron|Barbara Baxley|James Burgess|Grand L. Bush|Amelia Campbell|Harry Carey Jr.|Alexis Chieffet|John Coe,English,"The Tombs - 1226 36th Street NW, Georgetown, Washington, District of Columbia, USA",
A Haunted House,A Haunted House,en,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",This $*%! ain't paranormal.,2013-01-11,/skQt53YE2iyOftXj5afJkHmYxLW.jpg,108.186,1499,5.8,2500000,60141683,86,Released,False,/akKBMXHEesqfuoYFt7LaRptFAO0.jpg,"Comedy, Horror",251937.0,A Haunted House Collection,ahauntedhouse,A Haunted House, Comedy| Fantasy| Horror,11-Jan-13,USA,R,5.1,86 min,"Directed by Michael Tiddes. With Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner. Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help.",Marlon Wayans|Marlene Forte|Essence Atkins|David Koechner|Dave Sheridan|Nick Swardson|Alanna Ubach|Andrew Daly|J.B. Smoove|Robin Thede|Jordenn Thompson|Affion Crockett|Cedric the Entertainer,English|Spanish,"Stevenson Ranch, California, USA","$2,500,000 "
It,It,en,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",Your fears are unleashed,2017-09-06,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,106.786,16900,7.2,35000000,701842551,135,Released,False,/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg,"Fantasy, Horror",477962.0,It Collection,it,It, Drama| Horror| Thriller,8-Sep-17,USA,R,7.8,135 min,"Directed by Andy Muschietti. With Bill Skarsgård, Jaeden Lieberher, Finn Wolfhard, Sophia Lillis. A group of bullied kids band together when a shapeshifting demon, taking the appearance of a clown, begins hunting children.",Jaeden Lieberher|Jeremy Ray Taylor|Sophia Lillis|Finn Wolfhard|Chosen Jacobs|Jack Dylan Grazer|Wyatt Oleff|Bill Skarsgård|Nicholas Hamilton|Jake Sim|Logan Thompson|Owen Teague|Jackson Robert Scott|Stephen Bogaert|Stuart Hughes,English,"Toronto, Ontario, Canada","$35,000,000 "
The Remaining,The Remaining,en,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.","After the rapture, there are fates worse than death.",2014-08-25,/sjw5d110lXV4tWgqKG1hGOphchT.jpg,106.016,285,5.7,0,1169603,88,Released,False,/bLI7uIY9Y1vDkx1Bt6Crn2NJELL.jpg,"Horror, Thriller",,,theremaining,The Remaining, Horror| Thriller,24-Sep-14,Philippines,PG-13,4.3,88 min,"Directed by Casey La Scala. With Johnny Pacar, Shaun Sipos, Bryan Dechart, Alexa PenaVega. Friends gather at a wedding, but the celebration is shattered by terrifying apocalyptic events forcing them to examine life, love and faith as they must choose between redemption and survival.",Johnny Pacar|Shaun Sipos|Bryan Dechart|Alexa PenaVega|Italia Ricci|Liz E. Morgan|Kimberley Drummond|John Pyper-Ferguson|Kim Pacheco|John Keenan|Nina Repeta|Judd Lormand|Hayley Lovitt|Roy Feaster|Erin Murphy,English,"Wilmington, North Carolina, USA",
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,en,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",Are you a patriot or a vampire?,2012-06-20,/5dTZylzoBV9qsrub9vYLAZrNkX3.jpg,103.0,2855,5.7,69000000,116471580,94,Released,False,/yUrJTqCUKvfu0FWXm4xFJyZwGMG.jpg,"Action, Fantasy, Horror",,,abrahamlincolnvampirehunter,Abraham Lincoln: Vampire Hunter, Action| Fantasy| Horror| Western,22-Jun-12,USA,R,5.9,105 min,"Directed by Timur Bekmambetov. With Benjamin Walker, Rufus Sewell, Dominic Cooper, Anthony Mackie. Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them.",Benjamin Walker|Dominic Cooper|Anthony Mackie|Mary Elizabeth Winstead|Rufus Sewell|Marton Csokas|Jimmi Simpson|Joseph Mawle|Robin McLeavy|Erin Wasson|John Rothman|Cameron M. Brown|Frank Brennan|Lux Haney-Jardine|Curtis Harris,English,"Second Line Stages, New Orleans, Louisiana, USA","$69,000,000 "
부산행,Train to Busan,ko,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",Life-or-death survival begins.,2016-07-20,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,94.624,5939,7.8,8500000,87547518,118,Released,False,/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,"Action, Horror, Science Fiction, Thriller",619537.0,Train to Busan Collection,traintobusan,Train to Busan, Action| Drama| Horror| Thriller,20-Jul-16,South Korea,NOT RATED,7.5,118 min,"Directed by Sang-ho Yeon. With Yoo Gong, Yu-mi Jung, Dong-seok Ma, Su-an Kim. While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Yoo Gong|Yu-mi Jung|Dong-seok Ma|Su-an Kim|Eui-sung Kim|Woo-sik Choi|Sohee|Soo-jung Ye|Myung-shin Park|Gwi-hwa Choi|Seok-yong Jeong|Hyuk-jin Jang|Seong-soo Han|Do-im Woo|Hye-Yeong Moon,Korean,"Dongdaegu Station, Daegu, Yeongnam, South Korea","  KRW 10,000,000,000  "
The Purge: Election Year,The Purge: Election Year,en,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",Keep America great,2016-06-29,/ubLbY97m8lYJ3Fykh7nfiwB5eth.jpg,91.119,4614,6.4,10000000,118587880,105,Released,False,/a7V3ZXCDAk3P7GjpgfN0IInjh0r.jpg,"Action, Horror, Thriller",256322.0,The Purge Collection,thepurgeelectionyear,The Purge: Election Year, Action| Horror| Sci-Fi| Thriller,1-Jul-16,USA,R,6.0,108 min,"Directed by James DeMonaco. With Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria. Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",Frank Grillo|Elizabeth Mitchell|Mykelti Williamson|Joseph Julian Soria|Betty Gabriel|Terry Serpico|Edwin Hodge|Kyle Secor|Barry Nolan|Liza Colón-Zayas|Ethan Phillips|Adam Cantor|Christopher James Baker|Jared Kemp|Brittany Mirabile,English,"Providence, Rhode Island, USA","$10,000,000 "
The Hunt,The Hunt,en,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",The Ultimate Human Hunting Experience,2020-03-11,/wxPhn4ef1EAo5njxwBkAEVrlJJG.jpg,88.978,2477,6.7,14000000,42415898,90,Released,False,/9R2FuGT0BeZl8usfsfqIcO7KK7v.jpg,"Action, Horror, Thriller",,,thehunt,The Hunt, Action| Horror| Thriller,24-Jul-12,France,,4.4,74 min,"Directed by Thomas Szczepanski. With Guillaume Beylard, Zuriel De Peslouan, Sarah Lucide, Jellali Mouina. Since the dawn of time man has always hunted something or other.",Guillaume Beylard|Zuriel De Peslouan|Sarah Lucide|Jellali Mouina|Enguerran Prieu,French,France,
