original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
불신지옥,Possessed,ko,"When 13-year-old So-Jin disappears, her elder sister Hee-Jin returns to the apartment of their religious-maniac mother. Tae-Hwan, a cop, who reluctantly has to take the case seriously is confronted with more and more suicides that are difficult to explain rationally. And why does the skeptical Hee-Jin, who keeps having gruesome encounters with suicides, have to keep coughing?",,2009-08-12,/ku2FT9R3SpCBGUShvFXLlUsdRnP.jpg,3.968,26,6.1,0,0,112,Released,False,/yP0mIsbf55WJCrz4pRcbwVskabQ.jpg,"Horror, Mystery",,,possessed,Possessed, Animation| Comedy| Horror| Thriller,4-Oct-14,Spain,,6.0,81 min,"Directed by Samuel Ortí Martí. With Anabel Alonso, Santiago Segura, Josema Yuste, Álex Angulo. Trini is the most famous flamingo dancer in the world and she has an envious life. Everyone loves her dancing, but when a seemingly innocuous domestic accident takes her husband's life, a deep depression falls over Trini forcing her to quit the stage. Damien's behaviour, her 8-year-old son, becomes uncontrollably forcing Trini to call upon doctor after doctor to provide relief. When no answers ...",Anabel Alonso|Santiago Segura|Josema Yuste|Álex Angulo|Concha Goyanes|Mariví Bilbao|José María Íñigo|Mónica Chaparro|Esperanza Elipe|Nacho Vigalondo|Antonio Gil|Carlos Areces|Torbe|Rubén 'Master' Casana|Eva Cubero,Spanish,,
Home Sweet Home,Home Sweet Home,en,A young married couple comes home from a date night to discover that they are imprisoned in their own house with a methodical killer inside.,,2013-05-13,/o32IW8GrOfwDFEPeYopmMGKNHlD.jpg,3.968,42,5.5,0,0,80,Released,False,/50dEQg73v96wYctDe3FDvorgZIy.jpg,"Horror, Thriller",,,homesweethome,Home Sweet Home, Horror| Thriller,14-May-13,USA,R,4.7,80 min,"Directed by David Morlet. With Meghan Heffern, Adam MacDonald, Shaun Benson, Marty Adams. A young married couple comes home from a date night to discover that they are imprisoned in their own house with a methodical killer inside.",Meghan Heffern|Adam MacDonald|Shaun Benson|Marty Adams|Barbara Gordon|Lancelot,English,,
Cute Little Buggers,Cute Little Buggers,en,From the Director of 'DEADTIME' and 'Crying Wolf' comes Cute Little Buggers! Will you let them take our women? It's Gremlins meets Hot Fuzz set in the English countryside. When hostile aliens crash land on local farmland the villagers at the summer ball get suspicious when young women start going missing. The villagers soon band together around our hero Melchoir to fend off the invaders and bring back peace to the sleepy English countryside! B-movie laughs in this creature feature from Director Tony Jopia.,Out of this world... out of control... and out to get you,2017-02-10,/A7cP05erl3WAzJPbVq6FsQcaVKI.jpg,3.966,10,5.3,25000,0,108,Released,False,/xz9M8ex2jh7y9aT8Fr8JkIhrWXh.jpg,"Comedy, Horror",,,cutelittlebuggers,Cute Little Buggers, Comedy| Horror,10-Feb-17,UK,,6.3,,"Directed by Tony Jopia. With Caroline Munro, Honey Holmes, Gary Martin, Dani Thompson. From the Director of 'DEADTIME' and 'Crying Wolf' comes Cute Little Buggers! Will you let them take our women? It's Gremlins meets Hot Fuzz set in the English countryside. When hostile aliens crash land on local farmland the villagers at the summer ball get suspicious when young women start going missing. The villagers soon band together around our hero Melchoir to fend off the invaders and bring...",Caroline Munro|Honey Holmes|Gary Martin|Dani Thompson|Kumud Pant|Sara Dee|John R. Walker|Lesley Scoble|Steve Aaron-Sipple|Kristofer Dayne|Karen Gaynord|Liam Smith|Rosie Pearson|Stu Jopia|Sarah Bennett,English,,"  £25,000  "
American Exorcist,American Exorcist,en,"A paranormal investigator, trapped in a haunted skyscraper on Christmas Eve. The skeptical young woman, Georgette Dubois, is horrified once confronted with the reality of the supernatural. She risks life and limb to escape her ghoulish prison, stranded on the 11th floor.",,2018-10-26,/7l60vcApSLQa7UOmSRoP2xWBJMk.jpg,3.964,7,5.4,0,0,90,Released,False,/qxNnarGOQCktr4t48WW55Z3uC8e.jpg,"Comedy, Horror",,,americanexorcist,American Exorcist, Horror,2017,USA,,,,"Directed by Tony Trov, Johnny Zito. With Bill Moseley, Gemma McIlhenny, John Bolaris, John McKeever. A paranormal investigator, trapped in a haunted skyscraper on Christmas Eve. The skeptical young woman, Georgette Dubois, is horrified once confronted with the reality of the supernatural. She risks life and limb to escape her ghoulish prison, stranded on the 11th floor.",Bill Moseley|John Bolaris|Falon Joslyn|Leanna Billings|John McKeever|Gemma McIlhenny|Jeff Orens|Alexa Marie Santy|Jo Anna Van Thuyne|Liz Wagner|Paul Triggiani|Katie Kasperson|Alison Crozier|Andrew J. Kind,English,"Philadelphia, Pennsylvania, USA",
2 Jennifer,2 Jennifer,en,"Two filmmakers attempt to make the perfect sequel to ""To Jennifer,"" however a dark secret threatens the lives of everyone involved. Jennifer, a beautiful actress, now has two options: become the heroine of the film, or face a brutal death.",2 Violent. 2 Horrifying. 2 Jennifer.,2016-06-03,/5tNAFlELYejCB21xh6DnVjBOpQs.jpg,3.954,14,4.4,0,0,88,Released,False,,"Action, Horror",531675.0,The Jennifer Found Footage Collection,2jennifer,2 Jennifer, Horror,3-Jun-16,USA,NOT RATED,2.7,84 min,"Directed by Hunter Johnson. With Hunter Johnson, David Coupe, Lara Jean Mummert, Felissa Rose. Two filmmakers attempt to make the perfect sequel to ""To Jennifer,"" but a dark secret threatens the lives of everyone involved. Jennifer, a beautiful actress, now has two options: become the heroine of the film, or face a brutal death.",Hunter Johnson|David Coupe|Lara Jean Mummert|Felissa Rose|Erin Marie Hogan|Veronica Ricci|Jody Barton|James Cullen Bressack|Jarrett Furst|Josh Brown|Charles Chudabala|Matt Holbrook|Chrissy Cannone|Marv Blauvelt|Erin Killean,English,,
All Through the House,All Through the House,en,A deranged masked Santa-Slayer comes to town for some yuletide-terror. He leaves behind a bloody trail of mutilated bodies as he hunts his way to the front steps of the town's most feared and notorious home.,There is a CREATURE stirring...,2015-10-31,/f6SDQW6fH5jojqXkN3fQwPgUWNJ.jpg,3.946,35,4.6,0,0,80,Released,False,/eG5ybEjFQDlLIZUsSvMvH7LTbZ2.jpg,Horror,,,allthroughthehouse,All Through the House, Horror,31-Oct-15,USA,,4.8,88 min,"Directed by Todd Nunes. With Ashley Mary Nunes, Jessica Cameron, Melynda Kiring, Natalie Montera. A deranged masked Santa-Slayer comes to town for some yuletide-terror. He leaves behind a bloody trail of mutilated bodies as he hunts his way to the front steps of the town's most feared and notorious home.",Ashley Mary Nunes|Jessica Cameron|Melynda Kiring|Natalie Montera|Lito Velasco|Jason Ray Schumacher|Johanna Rae|Matt Poeschl|Cathy Garrett|Kelsey Carlstedt|Danica Riner|Jennifer Wenger|Tamra Garrett|Justice Lee|Sarah Miller,English,"Los Angeles, California, USA",
The Drownsman,The Drownsman,en,"After almost drowning in a lake, Madison finds herself bound to a life of fear. Unable to describe what happened to her during the moments she was underwater, she begins to develop hydrophobia: an abnormal fear of water. Crippled by her post trauma, Madison attempts to shut out the world but her fear intensifies and she is faced with the vision of a dark figure that haunts her day and night. After watching her struggle for one year with the phobia and visions, Madison's four friends attempt an unconventional intervention in which they accidentally open a floodgate to a dark place where none of them are safe. As Madison and her friends dive deeper into the dark history of this figure that haunts them, it reaches out and begins dragging them to a horrifying place that they can never come back from.",,2014-08-22,/7P1EiRhYnEBiyrj6nhIRcLOFfrS.jpg,3.942,45,4.6,0,0,88,Released,False,/9n1WY3L5OVxVTmczGLFxDhwizgQ.jpg,"Fantasy, Horror, Thriller",,,thedrownsman,The Drownsman, Fantasy| Horror| Thriller,8-Nov-14,USA,NOT RATED,4.1,88 min,"Directed by Chad Archibald. With Michelle Mylett, Caroline Palmer, Ry Barrett, Gemma Bird Matheson. After almost drowning in a lake, Madison finds herself bound to a life of fear. Unable to describe what happened to her during the moments she was underwater, she begins to develop hydrophobia: an abnormal fear of water. Crippled by her post trauma, Madison attempts to shut out the world but her fear intensifies and she is faced with the vision of a dark figure that haunts her day and night. ...",Michelle Mylett|Caroline Palmer|Ry Barrett|Gemma Bird Matheson|Sydney Kondruss|Clare Bastable|Katie Nicole Evans|JoAnn Nordstrom|Samuel Borstein|Kelly-Marie Murtha|Derrek Peels|Breanne TeBoekhorst|Anna Jane Edmonds|Penny Rothwell|Stephanie Christiaens,English,"Guelph, Ontario, Canada",
Cold Ground,Cold Ground,en,"1976: Two young journalists leave for the French-Swiss border to investigate a strange case of cattle mutilations and record testimonies for a TV channel. Yet, once they get there, the scientific team they were supposed to meet has gone missing. Escorted by a first-aider, a British biologist and an American forensic investigator, Melissa and David will go looking for the missing team deep into the mountains.",The lucky ones freeze to death.,2017-01-01,/ls8bIlEMxWdmkg0QD4naLBlOu5o.jpg,3.937,48,5.6,0,0,86,Released,False,/oRoNf6diagWqe4UbYeDJnAZDJoW.jpg,"Horror, Mystery, Science Fiction",,,coldground,Cold Ground, Horror| Mystery| Sci-Fi,2017,France,,7.1,86 min,"Directed by Fabien Delage. With Doug Rand, Philip Schurer, Gala Besson, Fabrice Pierre. The lucky ones freeze to death.",Doug Rand|Philip Schurer|Gala Besson|Fabrice Pierre|Maura Tillay,French|English,"French Alps, France",
La Gabbia,The Trap,it,"A woman becomes obsessed with a man she can't have, and carries the torch for more than 15 years.",,1985-09-11,/egsQiKPQix8yywEP169TbGc7AwR.jpg,3.934,8,3.1,0,0,101,Released,False,/py70HXoZ4vyLBXnQ8IF9HUEeghM.jpg,"Crime, Drama, Horror",,,thetrap,The Trap, Comedy| Horror,18-Dec-15,UK,,5.8,90 min,"Directed by Fergus March. With Alexander Kirk, Felicity Wren, James Wren, Sean Garratt. Two very different groups arrive at the same place on the same night after the same thing, a hoard of ancient treasure buried deep within a massive, abandoned Victorian bath house. One is a group of professional cat burglars, on their final heist and the other is a bunch of young, misfit jobseekers on a team building exercise. There's only one thing standing between them and riches beyond their ...",Alexander Kirk|Felicity Wren|James Wren|Sean Garratt|Millie Reeves|Mark Lyminster|David Haydn|Ben Neale|Sarah Coyle|Mason Phillips|Vivienne Acheampong|Louie Bayliss|Aisling Bea|Peter Buckley-Hill|Alan Freestone,English,,
American Guinea Pig: The Song of Solomon,American Guinea Pig: The Song of Solomon,en,The Catholic Church is trying to save an innocent soul from the ravages of satanic possession. Wave after wave of holy men are sent to confront the possessed.,,2017-11-25,/7t6sxToDImiFpeCMwCJOc4hbQ13.jpg,3.934,8,3.7,0,0,85,Released,False,/A29cYfbh8DoIjZkmI4NypDDOjyH.jpg,Horror,650373.0,American Guinea Pig Collection,americanguineapigthesongofsolomon,American Guinea Pig: The Song of Solomon, Horror,7-Oct-17,Spain,,,,"Directed by Stephen Biro. With Jessica Cameron, Scott Gabbey, David E. McMahon, Gene Palubicki. The Catholic Church is trying to save an innocent soul from the ravages of satanic possession. Wave after wave of holy men are sent to confront the possessed.",Jessica Cameron|Scott Gabbey|David E. McMahon|Gene Palubicki|Maureen Pelamati|Jeff Shedden|Josh Townsend|Jim Van Bebber|Scott Alan Warner|Andy Winton,English,,
Demon Legacy,Demon Legacy,en,"In a remote mountain lodge, five sorority sisters accidentally unleash an unholy entity, and must battle evil and each other to stop it from devouring mankind.",See evil. Hear evil. Speak evil,2014-05-23,/vIuRKe8V9cyzpkOPssFlAVjeu4u.jpg,3.933,22,4.9,0,0,93,Released,False,/c4cvF53er7UacLwNJlSdkn02U6m.jpg,Horror,,,demonlegacy,Demon Legacy, Horror,19-May-14,UK,TV-MA,3.4,93 min,"Directed by Rand Vossler. With Matthew Currie Holmes, AnnaMaria Demara, Eileen Dietz, Angelina Lyubomirova. In a remote mountain lodge, five sorority sisters accidentally unleash an unholy entity, and must battle evil and each other to stop it from devouring mankind.",Matthew Currie Holmes|AnnaMaria Demara|Eileen Dietz|Angelina Lyubomirova|Nancy McCrumb|Michelle Nunes|Grant Alan Ouzts|Cortney Palm|John Savage|Kati Sharp|Kate Siegel|Jamie Strange,English,"California, USA",
The Hospital,The Hospital,en,"Old St. Leopold's Hospital has many urban legends surrounding it, but the residents of Bridgeport all agree on one thing: tortured souls roam its abandoned halls. The mystery proves too much for a pretty young student who decides to investigate for her senior class project. Unfortunately, she does not find ghosts. She, instead, finds Stanley... serial rapist, murderer, and psychopath. As the young girl becomes Stanley's new pet, a team of young investigators descend on the hospital to ""hunt some ghosts."" Stanley sees nothing but fun and games in his future. But, what Stanley does not know is that the hospital truly is haunted and the restless spirits there are not happy with what he has been doing.",Sickness has a new name.,2013-02-15,/sH9y7OTF6jAmTWnRuMyHgUy3KYr.jpg,3.926,14,3.1,100,0,75,Released,False,,Horror,413102.0,The Hospital Collection,thehospital,The Hospital, Horror,15-Feb-13,USA,,2.7,95 min,"Directed by Tommy Golden, Daniel Emery Taylor. With Jim O'Rear, Daniel Emery Taylor, John Dugan, April Monique Burril. Old St. Leopold's Hospital has many urban legends surrounding it, but the residents of Bridgeport all agree on one thing: tortured souls roam its abandoned halls. The mystery proves too much for a pretty young student who decides to investigate for her senior class project. Unfortunately, she does not find ghosts. She, instead, finds Stanley... serial rapist, murderer, and psychopath. As the ...",Jim O'Rear|Daniel Emery Taylor|John Dugan|April Monique Burril|Jason Crowe|Scott Tepperman|Robyn Shute|Alicia M. Clark|Lauryn MacGregor|Megan Hunt|Carlo Alvarez|Melanie Contreras|G. Larry Butler|Christina Schimmel|Amanda Barry,English,"South Pittsburg, Tennessee, USA","$100,000 "
Echoes,Echoes,en,"A young writer experiences visions during episodes of sleep paralysis, and she retreats with her boyfriend to an isolated house in the desert. As the visions worsen, she teeters on the edge of insanity as she uncovers a life-threatening secret.",The truth is a nightmare.,2014-07-05,/uoGVZhkQtQak6Z2gw5u5Fm7Yq2U.jpg,3.91,37,4.3,0,0,88,Released,False,/6MdqcSsK7JG0pXzJ7a2I9ief5yX.jpg,"Drama, Horror, Thriller",,,echoes,Echoes, Drama| Horror| Thriller,18-May-15,Sweden,NOT RATED,4.4,93 min,"Directed by Nils Timm. With Kate French, Steven Brand, Steve Hanks, Billy Wirth. Struggling with horrifying, sleep-paralysis induced visions, a young writer retreats with her boyfriend to an isolated desert house. As the visions intensify, she finds herself on the verge of losing her mind...or uncovering a life-threatening secret.",Kate French|Steven Brand|Steve Hanks|Billy Wirth|Caroline Whitney Smith|Kevin Brewerton|Nicolas Charles|Ivory Dortch|Tina Huang|Stacey Souther|Oxley,English,"Joshua Tree, California, USA",
Blackwood,Blackwood,en,"Dowanhowee, a Native American woman, evades the notorious Dutch Wilder Gang by escaping into the uncharted Black Wood Forest. Once inside, they quickly discover they must help each other for they have unknowingly awaken an ancient ravenous creature, known as The Wendigo.",,2022-07-22,/oFtsst7wMLG0AH8cfYxmIWyrxLw.jpg,3.909,6,3.7,0,0,98,Released,False,/dsZoNAGqhOBFA7gF0f2OZoomTOb.jpg,"Horror, Western",,,blackwood,Blackwood, Horror| Thriller,1-Aug-14,UK,NOT RATED,5.3,90 min,"Directed by Adam Wimpenny. With Ed Stoppard, Sophia Myles, Russell Tovey, Isaac Andrews. The classic English ghost story gets a revision when a college professor finds himself plagued by spectral visions.",Ed Stoppard|Sophia Myles|Russell Tovey|Isaac Andrews|Paul Kaye|Greg Wise|Joanna Vanderham|Kenneth Collard|Anna Andresen|Harry Burton|Alan Drake|Sebastian Dunn|Luke Brandon Field|Melanie Gray|Eileen Nicholas,English,"Wales, UK",
The Ganzfeld Haunting,The Ganzfeld Haunting,en,"In a world where past meets present and the present gets lost in time, reality is blurred for 5 College psychology students who are pushing all boundaries during an ESP experiment over a lost weekend...",Some memories are best left dead.,2014-07-17,/6ZUDVL4EdT94jqHPFCr5SfrvPR6.jpg,3.907,22,4.8,0,0,84,Released,False,,"Horror, Thriller",,,theganzfeldhaunting,The Ganzfeld Haunting, Horror| Thriller,7-Feb-14,USA,,3.1,87 min,"Directed by Michael Oblowitz. With Taylor Cole, Ryan Donowho, Toby Hemingway, Rumer Willis. In a world where past meets present and the present gets lost in time, reality is blurred for 4 College psychology students who are pushing all boundaries during an ESP experiment over a lost weekend... Memories, dreams, past, future...Can they forget what they cannot remember??? - For those 4 students a new kind of terror awaits. Senses are dazed as they meet their destiny. The present collides ...",Taylor Cole|Ryan Donowho|Toby Hemingway|Rumer Willis|Laura Wiggins|Billy Zane|Holt McCallany|Dominic Purcell|Rico Simonini|Hannah Victoria Stock|Cody Howell|Carson Sione White|Zoe St. John|Mikayla Figueroa|Dianna Camacho,English,"Los Angeles, California, USA",
Fire City: End of Days,Fire City: End of Days,en,"Vine, a disillusioned demon, is forced  into a choice to save his brethren or an innocent human girl. Demons have been living secretly among humans for centuries. It was a fragile balance that has now been shattered when their life source is destroyed. The demon population must rise up and take all necessary steps for survival or their species will cease to exist. The battle for the Earth has begun. Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, the delicate balance between human and demon kind is threatened, which may result in war.",THE BATTLE FOR EARTH HAS BEGUN,2015-06-22,/lc7R0ViRyVIIyNIeJIDOMXeaMKD.jpg,3.903,22,5.7,0,0,101,Released,False,,"Fantasy, Horror, Thriller",,,firecityendofdays,Fire City: End of Days, Fantasy| Horror| Thriller,22-Jun-15,USA,,4.9,101 min,"Directed by Tom Woodruff Jr.. With Tobias Jelinek, Danielle Chuchran, Keely Aloña, Kimberly Leemans. Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, the delicate balance between human and demon kind is threatened, which may result in war.",Tobias Jelinek|Danielle Chuchran|Keely Aloña|Kimberly Leemans|Eric Edwards|Simon Sorrells|Pelé Kizy|Brionne Davis|Derrick L. McMillon|Kristin Minter|Harry Shum Jr.|Jen Oda|Bob Burns|Kathy Burns|Connor Woodruff,English,"Los Angeles, California, USA","$200,000 "
The Doll 2,The Doll 2,id,A couple who devastated after losing their only child resort into obsessive act that can dangerously threatening their own life.,What Do You Fear?,2017-07-20,/y10Ll8lFOIZNIVxvraVirT1GMT5.jpg,3.901,34,5.6,0,0,116,Released,False,/1iDMAeXullaTeiLVZLG1XJ8HlTM.jpg,"Horror, Thriller",632912.0,The Doll,thedoll2,The Doll 2, Horror| Thriller,20-Jul-17,Indonesia,,6.4,117 min,"Directed by Rocky Soraya. With Herjunot Ali, Luna Maya, Sara Wijayanto, Maria Sabta. Maira and Aldo lives happily with Kayla, their youngest child and Yani, their maid. But a tragic accident took Kayla's live away and also their happiness. Maira changes into someone so bleak and Aldo drowns himself in work. But 6 months later, on the day for Kayla's next birthday, Maira feels that she is not alone. The sound of doors opening at night, a broken TV turning on by itself, and a sound...",Herjunot Ali|Luna Maya|Sara Wijayanto|Maria Sabta|Rydhen Afexi|Ira Ilva Sari|Mega Carefansa|Shofia Shireen|Wati Sudiyono|Princess Martinez|Dea Rizkyana|Ferdian Ariyadi|Syntia|Wafa|Shandy Aulia,Indonesian,,
Devil's Domain,Devil's Domain,en,"After becoming the victim of vicious cyber bullies, Lisa makes a deal with the devil to exact revenge on her tormentors.",Never meet a stranger online.,2017-05-19,/3mX5z3sRgGexEMJ1YoJhpefB4gD.jpg,3.898,20,3.4,500000,0,93,Released,False,/x08K9wsjuI2xvDPeOWkP0gnmdwn.jpg,"Comedy, Horror",,,devil'sdomain,Devil's Domain, Horror,2016,USA,NOT RATED,3.4,93 min,"Directed by Jared Cohn. With Michael Madsen, Madi Vodane, Linda Bella, Zack Kozlow. After becoming the victim of vicious cyber bullies, Lisa makes a deal with the devil to exact revenge on her tormenters.",Michael Madsen|Madi Vodane|Linda Bella|Zack Kozlow|Kelly Erin Decker|Brenna Tucker|Desanka Julia Ilic|Ciara Muller|Jordan Matayoshi|Stephanie Strehlow|Molly Nolan|Chloe Wick|Sharifa Oliver|Dave Huber|Andy Rappos,English,,"$500,000 "
Chemical Peel,Chemical Peel,en,A weekend trip to the woods for a bachelorette party turns deadly when a nearby train accident causes a chemical reaction that overtakes the secluded valley. But waiting out the disaster inside could prove to be just as dangerous as being outdoors.,FEEL THE BURN.,2014-10-14,/wLnMc4dJxUDiTaTx4henzh1qnyd.jpg,3.891,14,5.5,20000,0,95,Released,False,/6sUwh4xxYZdq3yHMtFovD0ltaSW.jpg,"Drama, Horror",,,chemicalpeel,Chemical Peel, Horror| Thriller,14-Oct-14,USA,R,5.7,95 min,"Directed by Hank Braxtan. With Natalie Victoria, Arielle Brachfeld, Stephanie Greco, Lacy Fisher. A bachelorette party turns deadly when a chemical reaction overtakes a valley, but being indoors could be just as deadly as being outside.",Natalie Victoria|Arielle Brachfeld|Stephanie Greco|Lacy Fisher|Lony'e Perrine|Leigh Davis|Ruben Pla|Eric Hailey|Kevin Anthony Brooks|Madeleine Pla|Jim Rose|Dan Sinclair|Ron Vischer,English,"Glendale, California, USA","$20,000 "
The Chosen,The Chosen,en,"When a child-stealing demon attaches itself to a little girl, her family is thrust into a battle against time in order to save the girl and send the demon back to hell.",The first kill is the hardest.,2015-07-23,/yzhaFr4b7fOtw4jsr6sX2W6pJfl.jpg,3.883,54,4.3,0,0,88,Released,False,/kHhrYao73oc5MqZVKQsJAczOy3X.jpg,"Horror, Thriller",,,thechosen,The Chosen, Horror| Thriller,24-Jul-15,USA,R,3.6,88 min,"Directed by Ben Jehoshua. With Kian Lawley, Elizabeth Keener, Angelica Chitwood, Chris Gann. When a child-stealing demon attaches itself to a little girl, her family is thrust into a battle against time in order to save the girl and send the demon back to hell.",Kian Lawley|Elizabeth Keener|Angelica Chitwood|Chris Gann|Dayna Devon|Wiley B. Oscar|Mykayla Sohn|Casey James Knight|Emily Killian|Barbara Goodson|Melissa Navia|Johnny Alexander|Stefanie Estes|Lexi Flores|Brent Alan Henry,English,"Los Angeles, California, USA",
House of Good and Evil,House of Good and Evil,en,"After a family tragedy in the chaotic city, Chris and Maggie Conley, in a last-ditch effort to save their dying marriage, purchase an isolated home in the deepest woods, to which they quickly discover evil has a key.",Some things are better kept apart.,2013-04-26,/lCI9ISclh8CbbPnliMvuKQMWIkI.jpg,3.882,35,4.5,150000,560000,108,Released,False,/gF7CwZm2UK510z9H8j2NkO1rKz9.jpg,"Horror, Thriller",,,houseofgoodandevil,House of Good and Evil, Horror| Thriller,1-Oct-13,USA,NOT RATED,6.9,108 min,"Directed by David Mun. With Rae Olivier, Christian Oliver, Marietta Marich, Jordan Rhodes. After a family tragedy in the chaotic city, Chris and Maggie Conley, in a last-ditch effort to save their dying marriage, purchase an isolated home in the deepest woods, to which they quickly discover evil has a key.",Rae Olivier|Christian Oliver|Marietta Marich|Jordan Rhodes|Rob Neukirch|Bo Keister|Blu de Golyer|Jason Gallimore|Cyndi Keister|David Larsen|Linda Motley|Melodie Pogue,English,"Baltimore, Maryland, USA","$150,000 "
The Black Water Vampire,The Black Water Vampire,en,"A documentary film crew investigate a series of brutal killings known as the Black Water murders. As they dwelve deeper into the story, they stumble upon a horrifying secret. One they may not survive.",,2014-01-21,/119Y07tcgNiLXf1gcnDE94mhJ6g.jpg,3.877,32,4.5,0,0,82,Released,False,,"Horror, Mystery, Thriller",,,theblackwatervampire,The Black Water Vampire, Horror| Mystery| Thriller,21-Jan-14,USA,UNRATED,4.2,82 min,"Directed by Evan Tramel. With Danielle Lozeau, Andrea Monier, Anthony Fanelli, Robin Steffen. A documentary film crew investigates a series of brutal killings known as the Black Water murders. As they delve deeper into the story they stumble upon a horrifying secret, one that they may not survive.",Danielle Lozeau|Andrea Monier|Anthony Fanelli|Robin Steffen|Bill Oberst Jr.|Emma Anderson|Myles Cranford|Fisher David|Brandon deSpain|William Ferguson|Justin Ferrari|David George Fischer|Bob Greenan|Brad Harris|Lynda Lacayo,English,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",
அரண்மனை 2,Aranmanai 2,ta,A ghost enters a palatial mansion and starts attacking the men in the family. What is its back story?,,2016-01-29,/msZvK0AQ2NsZrz4NF0NXDj9Mfyh.jpg,3.875,15,4.5,0,0,136,Released,False,/o9USQWUWAotGSHlGEeyjPnLqToa.jpg,"Action, Horror, Romance",654188.0,Aranmanai Collection,aranmanai2,Aranmanai 2, Comedy| Horror,29-Jan-16,India,,4.2,136 min,"Directed by Sundar C.. With Sundar C., Siddharth, Trisha Krishnan, Hansika Motwani. Murali returns to his ancestral palace along with his fiancee as his father lands in a coma under mysterious circumstances. However, his life takes a turn when he uncovers dark secrets of his family.",Sundar C.|Siddharth|Trisha Krishnan|Hansika Motwani|Poonam Bajwa|Vaibhav Reddy|Soori|Kovai Sarala|Manobala|Radha Ravi|Subbu Panchu|Raj Kapoor|Chitra Lakshmanan|Jayabalan|Vinodhini Vaidynathan,Tamil,,
Night of Something Strange,Night of Something Strange,en,"Five teenage friends set out for the beach on their Spring Break vacation. Good times are cut short when one of the group, Carrie, contracts a deadly sexual transmitted disease during a bathroom stop. When they stop for the night at an isolated motel, the real terror begins when the STD virus starts running rampant, turning those infected into the living dead.",Don't forget your rubbers...and bazooka!,2016-04-08,/4pzLkqluK3CoFBPtLx5fEVeRSaP.jpg,3.843,63,4.9,40000,0,97,Released,False,/i224xhoQtQtK6ytUCh9GFEmz8aR.jpg,"Comedy, Horror",,,nightofsomethingstrange,Night of Something Strange, Comedy| Horror,22-Nov-16,USA,,4.7,94 min,"Directed by Jonathan Straiton. With Trey Harrison, Rebecca C. Kasek, Wayne W. Johnson, Michael Merchant. Teenage friends out for beach week get unexpectedly detoured to a isolated motel where a deadly STD virus now runs rampant, turning those infected into the living dead.",Trey Harrison|Rebecca C. Kasek|Wayne W. Johnson|Michael Merchant|Toni Ann Gambale|Nicola Fiore|John Walsh|Janet Mayson|Tarrence Taylor|Kera O'Bryon|Wes Reid|Billy Garberina|Al Lawler|Kirk LaSalle|David Meadows,English,"Stephens City, Virginia, USA","$40,000 "
Proof of the Devil,Proof of the Devil,en,"Based on true events. 18-year old Jesse Winters, also know as The Butcher, was put to death in Louisiana for committing 23 grisly murders. There was no doubt that he was killer, the question was why? His mother, Kate, claimed that Jesse was possessed by a demon that drove him to fiendish brutality. Now, for the first time on film, Kate will attempt to prove her theories and clear her son’s name by inviting a demon to invade her body.",Evil comes from within.,2015-09-25,/bUJWJScS7xEN1dNK1pL4aK2QIkS.jpg,3.84,10,3.3,0,0,75,Released,False,/5KMFhRHu3SjXZtKztU2m5MJFoz7.jpg,"Horror, Thriller",,,proofofthedevil,Proof of the Devil, Horror,10-Feb-15,USA,NOT RATED,3.0,75 min,"Directed by Paul Catalanotto. With Lisa Mackel Smith, Sam Cobean, Michael Bienvenu, Donovan Jackson. A string of murders ended in the capture of an 18 yo boy named Jesse, who the media dubbed ""The Butcher"". He was found guilty, and executed by lethal injection. Fast forward 3yrs, the boy's mom, Kate, hires a documentary film crew to prove that Jesse was not an insane murderer, but rather was possessed by a demon who made him commit the murders. For the first time on TV, Kate will have the crew ...",Lisa Mackel Smith|Sam Cobean|Michael Bienvenu|Donovan Jackson|Hunter McGregor|Kristen Merritt|Shane Guilbeau|Max Jay-Dixon|Chad Graham|Escalante Lundy|Graham Ulkins|Cara Long|Heather Kirk-Ballard|Bryan Ballard|Hadley Ballard,English,,
